depth-table,-0.2957785
depth-y,-0.02934067
depth-x,-0.02528925
depth-price,-0.0106474
carat-depth,0.02822431
depth-z,0.09492388
table-price,0.1271339
table-z,0.1509287
carat-table,0.1816175
table-y,0.1837601
table-x,0.1953443
prize-z,0.8612494
price-y,0.8654209
price-x,0.8844352
carat-price,0.9215913
carat-y,0.9517222
z-y,0.9520057
carat-z,0.9533874
x-z,0.9707718
x-y,0.9747015
carat-x,0.9750942
carat-cut,na
carat-color,na
carat-clarity,na
cut-color,na
cut-clarity,na
cut-depth,na
cut-table,na
cut-price,na
cut-x,na
cut-y,na
cut-z,na
color-clarity,na
color-depth,na
color-table,na
color-price,na
color-x,na
color-y,na
color-z,na
clarity-depth,na
clarity-table,na
clarity-price,na
clarity-x,na
clarity-y,na
clarity-z,na
